Name,Age,Gender,12_percentage,10_percentage,CGPA,Parents_Annual_Income,Is_Car,Is_Loan_Free,Is_Passport,Is_Masters
Kiara Reddy,26,F,57.96,84.2,6.56,527715.0632941612,N,N,Y,N
Diya Joshi,28,F,57.92,58.36,9.52,6957993.235619466,N,Y,Y,Y
Saanvi Choudhury,28,F,67.66,45.84,9.24,576994.2990863787,N,Y,Y,N
Chirag Sharma,29,M,54.84,81.02,8.74,3976785.466968799,Y,Y,N,N
Shanaya Pandey,30,F,62.58,79.44,9.78,2491990.433168778,Y,Y,Y,Y
Riddhi Kumar,23,F,64.19,58.45,5.81,8177790.131333347,N,Y,N,Y
Ahaan Desai,24,M,40.65,93.61,6.9,4826100.19839343,Y,Y,Y,Y
Ishaan Sethi,22,M,71.13,78.03,9.4,2701520.3846037886,Y,Y,N,Y
Mishka,26,F,79.19,87.23,8.85,1423411.7271482483,Y,Y,Y,N
Prisha Shah,21,F,87.05,65.1,7.89,455683.7552218473,Y,Y,Y,N
Atharva Bose,27,M,59.9,55.75,7.95,3693892.885191044,N,Y,N,Y
Navya Goswami,25,F,86.96,43.51,7.25,9460150.626170764,N,N,Y,Y
Kian Sharma,22,M,46.72,50.32,8.78,4081167.487886326,Y,Y,N,Y
Krishna Shah,26,M,78.52,97.17,9.73,803705.3476056955,Y,N,N,N
Vivaan Singh,22,M,80.38,66.78,7.5,9230552.732444016,N,N,N,Y
Siya Bose,21,F,40.35,72.27,9.65,6688915.67041155,N,N,N,Y
Vivaan,25,M,86.14,48.5,8.49,1666993.440322744,N,N,N,N
Ansh Thakur,21,M,59.65,67.05,5.88,6711928.503029611,Y,N,N,Y
Advik Shah,24,M,88.82,40.86,7.93,7286246.5332385255,Y,N,N,Y
Shanaya Verma,22,F,45.01,77.93,6.7,462298.34949952335,Y,Y,Y,N
Kian Verma,28,M,78.0,44.84,9.1,873783.3677912173,Y,Y,N,N
Siya Patel,25,F,95.46,42.09,5.97,5094714.571181735,Y,N,N,Y
Riya Verma,27,F,86.85,52.89,5.67,961960.0606213395,N,Y,N,N
Rudra Sharma,30,M,68.59,62.7,7.55,4305187.016282782,N,N,Y,Y
Pranav Kumar,30,M,71.5,94.55,9.54,8747374.162738243,Y,Y,N,N
Mohammed Desai,27,M,60.06,63.78,9.68,1008622.5698554245,N,Y,Y,N
Mishka Nair,26,F,77.41,48.9,8.04,1493825.7510903755,Y,Y,N,N
Ansh Verma,23,M,82.97,92.07,9.3,7003085.562635393,N,Y,N,Y
Rudra Roy,29,M,45.42,96.04,7.16,61520950.18114796,N,N,Y,Y
Riddhi Desai,22,F,50.91,55.26,8.69,9926115.662805958,Y,N,Y,Y
Kabir Bhatia,30,M,59.52,59.82,8.44,6860991.0404807115,Y,Y,N,Y
Ishaan Roy,23,M,45.93,70.97,7.13,49910550.38527514,Y,Y,Y,N
Siya Singh,21,F,45.31,95.16,5.57,868305.3457044483,Y,N,N,N
Navya Choudhury,30,F,48.29,78.59,6.46,3462511.0860473653,Y,Y,Y,Y
Kabir Gupta,26,M,71.6,64.29,5.52,6350081.8463377375,Y,Y,Y,Y
Ritvik Malhotra,30,M,51.13,72.9,7.55,621032.73997103,N,N,Y,Y
Mohammed Singh,28,M,70.18,85.05,7.31,871275.3831112311,Y,Y,Y,N
Anaisha,25,F,42.75,79.25,8.57,6588581.077602808,N,N,Y,Y
Atharva Das,29,M,82.18,53.27,8.41,1859514.9959485817,N,N,N,N
Anika Reddy,26,F,81.68,42.63,7.37,6774181.644597356,Y,Y,Y,N
Yash Chopra,27,M,50.16,93.24,7.9,1605577.9955147733,N,N,Y,N
Mishka Goswami,24,F,44.32,51.92,7.41,953928.1912199162,Y,Y,N,N
